LineX1,LineY1,LineX2,LineY2,x1,y1,x2,y1,word,word_confidence,CharDetails,X1,Y1,X2,Y2,page_number,ID
168,282,2632,533,168,294,384,533,[t,83,"[{'Character': '[', 'CharPosition': 0, 'char_x1': 168, 'char_y1': 294, 'char_x2': 265, 'char_y2': 533, 'char_conf': 97.599304}, {'Character': 't', 'CharPosition': 1, 'char_x1': 289, 'char_y1': 354, 'char_x2': 384, 'char_y2': 533, 'char_conf': 98.804886}]",168,294,384,533,1,0
168,282,2632,533,480,378,982,533,was,95,"[{'Character': 'w', 'CharPosition': 0, 'char_x1': 480, 'char_y1': 378, 'char_x2': 708, 'char_y2': 533, 'char_conf': 99.563812}, {'Character': 'a', 'CharPosition': 1, 'char_x1': 707, 'char_y1': 378, 'char_x2': 719, 'char_y2': 390, 'char_conf': 99.574768}, {'Character': 's', 'CharPosition': 2, 'char_x1': 731, 'char_y1': 378, 'char_x2': 982, 'char_y2': 533, 'char_conf': 99.427292}]",480,378,982,533,1,1
168,282,2632,533,1090,282,1532,533,the,96,"[{'Character': 't', 'CharPosition': 0, 'char_x1': 1090, 'char_y1': 354, 'char_x2': 1197, 'char_y2': 533, 'char_conf': 99.559624}, {'Character': 'h', 'CharPosition': 1, 'char_x1': 1209, 'char_y1': 282, 'char_x2': 1377, 'char_y2': 533, 'char_conf': 99.573982}, {'Character': 'e', 'CharPosition': 2, 'char_x1': 1401, 'char_y1': 378, 'char_x2': 1532, 'char_y2': 533, 'char_conf': 99.571793}]",1090,282,1532,533,1,2
168,282,2632,533,1640,282,2214,533,best,96,"[{'Character': 'b', 'CharPosition': 0, 'char_x1': 1640, 'char_y1': 282, 'char_x2': 1795, 'char_y2': 533, 'char_conf': 99.572456}, {'Character': 'e', 'CharPosition': 1, 'char_x1': 1703, 'char_y1': 282, 'char_x2': 1931, 'char_y2': 533, 'char_conf': 99.467377}, {'Character': 's', 'CharPosition': 2, 'char_x1': 1819, 'char_y1': 378, 'char_x2': 1951, 'char_y2': 533, 'char_conf': 99.493286}, {'Character': 't', 'CharPosition': 3, 'char_x1': 1987, 'char_y1': 354, 'char_x2': 2214, 'char_y2': 533, 'char_conf': 99.554276}]",1640,282,2214,533,1,3
168,282,2632,533,2321,282,2632,533,of,96,"[{'Character': 'o', 'CharPosition': 0, 'char_x1': 2321, 'char_y1': 378, 'char_x2': 2477, 'char_y2': 533, 'char_conf': 99.535767}, {'Character': 'f', 'CharPosition': 1, 'char_x1': 2513, 'char_y1': 282, 'char_x2': 2632, 'char_y2': 533, 'char_conf': 99.573517}]",2321,282,2632,533,1,4
157,689,3314,988,157,701,994,988,"times,",95,"[{'Character': 't', 'CharPosition': 0, 'char_x1': 157, 'char_y1': 749, 'char_x2': 253, 'char_y2': 928, 'char_conf': 99.569054}, {'Character': 'i', 'CharPosition': 1, 'char_x1': 277, 'char_y1': 701, 'char_x2': 348, 'char_y2': 928, 'char_conf': 99.34108}, {'Character': 'm', 'CharPosition': 2, 'char_x1': 372, 'char_y1': 784, 'char_x2': 635, 'char_y2': 928, 'char_conf': 99.387787}, {'Character': 'e', 'CharPosition': 3, 'char_x1': 465, 'char_y1': 701, 'char_x2': 725, 'char_y2': 988, 'char_conf': 99.540009}, {'Character': 's', 'CharPosition': 4, 'char_x1': 647, 'char_y1': 784, 'char_x2': 779, 'char_y2': 928, 'char_conf': 99.55307}, {'Character': ',', 'CharPosition': 5, 'char_x1': 815, 'char_y1': 784, 'char_x2': 994, 'char_y2': 988, 'char_conf': 99.288162}]",157,701,994,988,1,5
157,689,3314,988,1102,702,1293,928,it,96,"[{'Character': 'i', 'CharPosition': 0, 'char_x1': 1102, 'char_y1': 702, 'char_x2': 1174, 'char_y2': 928, 'char_conf': 99.535568}, {'Character': 't', 'CharPosition': 1, 'char_x1': 1197, 'char_y1': 761, 'char_x2': 1293, 'char_y2': 928, 'char_conf': 99.526855}]",1102,702,1293,928,1,6
157,689,3314,988,1389,784,1891,940,was,95,"[{'Character': 'w', 'CharPosition': 0, 'char_x1': 1389, 'char_y1': 784, 'char_x2': 1628, 'char_y2': 928, 'char_conf': 99.392548}, {'Character': 'a', 'CharPosition': 1, 'char_x1': 1505, 'char_y1': 784, 'char_x2': 1765, 'char_y2': 940, 'char_conf': 99.564842}, {'Character': 's', 'CharPosition': 2, 'char_x1': 1640, 'char_y1': 784, 'char_x2': 1891, 'char_y2': 940, 'char_conf': 99.530975}]",1389,784,1891,940,1,7
157,689,3314,988,2011,689,2441,928,the,96,"[{'Character': 't', 'CharPosition': 0, 'char_x1': 2011, 'char_y1': 761, 'char_x2': 2106, 'char_y2': 928, 'char_conf': 99.573021}, {'Character': 'h', 'CharPosition': 1, 'char_x1': 2118, 'char_y1': 689, 'char_x2': 2298, 'char_y2': 928, 'char_conf': 99.569916}, {'Character': 'e', 'CharPosition': 2, 'char_x1': 2310, 'char_y1': 784, 'char_x2': 2441, 'char_y2': 928, 'char_conf': 99.559822}]",2011,689,2441,928,1,8
157,689,3314,988,2537,760,3314,940,worst,96,"[{'Character': 'w', 'CharPosition': 0, 'char_x1': 2537, 'char_y1': 784, 'char_x2': 2776, 'char_y2': 940, 'char_conf': 99.572327}, {'Character': 'o', 'CharPosition': 1, 'char_x1': 2649, 'char_y1': 760, 'char_x2': 2909, 'char_y2': 940, 'char_conf': 99.544968}, {'Character': 'r', 'CharPosition': 2, 'char_x1': 2788, 'char_y1': 784, 'char_x2': 2943, 'char_y2': 928, 'char_conf': 99.55703}, {'Character': 's', 'CharPosition': 3, 'char_x1': 2955, 'char_y1': 784, 'char_x2': 3075, 'char_y2': 928, 'char_conf': 99.560333}, {'Character': 't', 'CharPosition': 4, 'char_x1': 3087, 'char_y1': 760, 'char_x2': 3314, 'char_y2': 937, 'char_conf': 99.572433}]",2537,760,3314,940,1,9
