LineX1,LineY1,LineX2,LineY2,x1,y1,x2,y1,word,word_confidence,CharDetails,X1,Y1,X2,Y2,page_number,ID
9,9,214,30,9,10,27,30,It,93,"[{'Character': 'I', 'CharPosition': 0, 'char_x1': 9, 'char_y1': 10, 'char_x2': 16, 'char_y2': 30, 'char_conf': 99.045319}, {'Character': 't', 'CharPosition': 1, 'char_x1': 19, 'char_y1': 15, 'char_x2': 27, 'char_y2': 30, 'char_conf': 99.532524}]",9,10,27,30,1,0
9,9,214,30,35,17,77,30,was,96,"[{'Character': 'w', 'CharPosition': 0, 'char_x1': 35, 'char_y1': 18, 'char_x2': 54, 'char_y2': 30, 'char_conf': 99.551712}, {'Character': 'a', 'CharPosition': 1, 'char_x1': 42, 'char_y1': 17, 'char_x2': 61, 'char_y2': 30, 'char_conf': 99.573891}, {'Character': 's', 'CharPosition': 2, 'char_x1': 56, 'char_y1': 17, 'char_x2': 77, 'char_y2': 30, 'char_conf': 99.571487}]",35,17,77,30,1,1
9,9,214,30,86,10,123,30,the,96,"[{'Character': 't', 'CharPosition': 0, 'char_x1': 86, 'char_y1': 15, 'char_x2': 95, 'char_y2': 30, 'char_conf': 99.574684}, {'Character': 'h', 'CharPosition': 1, 'char_x1': 96, 'char_y1': 10, 'char_x2': 110, 'char_y2': 30, 'char_conf': 99.573647}, {'Character': 'e', 'CharPosition': 2, 'char_x1': 112, 'char_y1': 17, 'char_x2': 123, 'char_y2': 30, 'char_conf': 99.574516}]",86,10,123,30,1,2
9,9,214,30,132,9,180,30,best,96,"[{'Character': 'b', 'CharPosition': 0, 'char_x1': 132, 'char_y1': 9, 'char_x2': 145, 'char_y2': 30, 'char_conf': 99.574142}, {'Character': 'e', 'CharPosition': 1, 'char_x1': 133, 'char_y1': 9, 'char_x2': 157, 'char_y2': 30, 'char_conf': 99.574646}, {'Character': 's', 'CharPosition': 2, 'char_x1': 147, 'char_y1': 17, 'char_x2': 158, 'char_y2': 30, 'char_conf': 99.574631}, {'Character': 't', 'CharPosition': 3, 'char_x1': 161, 'char_y1': 15, 'char_x2': 180, 'char_y2': 30, 'char_conf': 99.574654}]",132,9,180,30,1,3
9,9,214,30,189,9,214,30,of,96,"[{'Character': 'o', 'CharPosition': 0, 'char_x1': 189, 'char_y1': 17, 'char_x2': 202, 'char_y2': 30, 'char_conf': 99.574432}, {'Character': 'f', 'CharPosition': 1, 'char_x1': 204, 'char_y1': 9, 'char_x2': 214, 'char_y2': 29, 'char_conf': 99.572449}]",189,9,214,30,1,4
8,43,272,68,8,45,77,68,"times,",96,"[{'Character': 't', 'CharPosition': 0, 'char_x1': 8, 'char_y1': 49, 'char_x2': 16, 'char_y2': 64, 'char_conf': 99.562256}, {'Character': 'i', 'CharPosition': 1, 'char_x1': 18, 'char_y1': 45, 'char_x2': 24, 'char_y2': 64, 'char_conf': 99.558868}, {'Character': 'm', 'CharPosition': 2, 'char_x1': 26, 'char_y1': 51, 'char_x2': 47, 'char_y2': 64, 'char_conf': 99.573349}, {'Character': 'e', 'CharPosition': 3, 'char_x1': 34, 'char_y1': 45, 'char_x2': 57, 'char_y2': 68, 'char_conf': 99.552788}, {'Character': 's', 'CharPosition': 4, 'char_x1': 49, 'char_y1': 51, 'char_x2': 60, 'char_y2': 64, 'char_conf': 99.568542}, {'Character': ',', 'CharPosition': 5, 'char_x1': 62, 'char_y1': 51, 'char_x2': 77, 'char_y2': 68, 'char_conf': 99.561264}]",8,45,77,68,1,5
8,43,272,68,87,44,103,63,it,96,"[{'Character': 'i', 'CharPosition': 0, 'char_x1': 87, 'char_y1': 44, 'char_x2': 93, 'char_y2': 63, 'char_conf': 99.569595}, {'Character': 't', 'CharPosition': 1, 'char_x1': 95, 'char_y1': 49, 'char_x2': 103, 'char_y2': 63, 'char_conf': 99.573059}]",87,44,103,63,1,6
8,43,272,68,111,51,153,63,was,96,"[{'Character': 'w', 'CharPosition': 0, 'char_x1': 111, 'char_y1': 51, 'char_x2': 131, 'char_y2': 63, 'char_conf': 99.573959}, {'Character': 'a', 'CharPosition': 1, 'char_x1': 119, 'char_y1': 51, 'char_x2': 142, 'char_y2': 63, 'char_conf': 99.574509}, {'Character': 's', 'CharPosition': 2, 'char_x1': 132, 'char_y1': 51, 'char_x2': 153, 'char_y2': 63, 'char_conf': 99.515625}]",111,51,153,63,1,7
8,43,272,68,163,43,199,63,the,96,"[{'Character': 't', 'CharPosition': 0, 'char_x1': 163, 'char_y1': 49, 'char_x2': 171, 'char_y2': 63, 'char_conf': 99.56916}, {'Character': 'h', 'CharPosition': 1, 'char_x1': 172, 'char_y1': 43, 'char_x2': 186, 'char_y2': 63, 'char_conf': 99.574455}, {'Character': 'e', 'CharPosition': 2, 'char_x1': 188, 'char_y1': 50, 'char_x2': 199, 'char_y2': 63, 'char_conf': 99.515182}]",163,43,199,63,1,8
8,43,272,68,207,48,272,63,worst,96,"[{'Character': 'w', 'CharPosition': 0, 'char_x1': 207, 'char_y1': 51, 'char_x2': 227, 'char_y2': 63, 'char_conf': 99.557259}, {'Character': 'o', 'CharPosition': 1, 'char_x1': 215, 'char_y1': 48, 'char_x2': 238, 'char_y2': 63, 'char_conf': 99.573967}, {'Character': 'r', 'CharPosition': 2, 'char_x1': 228, 'char_y1': 50, 'char_x2': 241, 'char_y2': 63, 'char_conf': 99.546463}, {'Character': 's', 'CharPosition': 3, 'char_x1': 243, 'char_y1': 50, 'char_x2': 252, 'char_y2': 63, 'char_conf': 99.574562}, {'Character': 't', 'CharPosition': 4, 'char_x1': 253, 'char_y1': 48, 'char_x2': 272, 'char_y2': 63, 'char_conf': 99.574005}]",207,48,272,63,1,9
8,76,277,104,8,77,34,98,of,96,"[{'Character': 'o', 'CharPosition': 0, 'char_x1': 8, 'char_y1': 85, 'char_x2': 21, 'char_y2': 98, 'char_conf': 99.574028}, {'Character': 'f', 'CharPosition': 1, 'char_x1': 23, 'char_y1': 77, 'char_x2': 34, 'char_y2': 97, 'char_conf': 99.57431}]",8,77,34,98,1,10
8,76,277,104,39,78,109,102,"times,",96,"[{'Character': 't', 'CharPosition': 0, 'char_x1': 39, 'char_y1': 82, 'char_x2': 48, 'char_y2': 98, 'char_conf': 99.561951}, {'Character': 'i', 'CharPosition': 1, 'char_x1': 50, 'char_y1': 78, 'char_x2': 56, 'char_y2': 97, 'char_conf': 99.572182}, {'Character': 'm', 'CharPosition': 2, 'char_x1': 50, 'char_y1': 78, 'char_x2': 75, 'char_y2': 102, 'char_conf': 99.574326}, {'Character': 'e', 'CharPosition': 3, 'char_x1': 58, 'char_y1': 84, 'char_x2': 79, 'char_y2': 97, 'char_conf': 99.561699}, {'Character': 's', 'CharPosition': 4, 'char_x1': 80, 'char_y1': 84, 'char_x2': 91, 'char_y2': 97, 'char_conf': 99.555534}, {'Character': ',', 'CharPosition': 5, 'char_x1': 94, 'char_y1': 84, 'char_x2': 109, 'char_y2': 102, 'char_conf': 99.559586}]",39,78,109,102,1,11
8,76,277,104,118,78,135,97,it,96,"[{'Character': 'i', 'CharPosition': 0, 'char_x1': 118, 'char_y1': 78, 'char_x2': 125, 'char_y2': 97, 'char_conf': 99.560112}, {'Character': 't', 'CharPosition': 1, 'char_x1': 126, 'char_y1': 82, 'char_x2': 135, 'char_y2': 97, 'char_conf': 99.561874}]",118,78,135,97,1,12
